Departamento,Año Desmovilización,Número Desmovilizados
CUNDINAMARCA,2012,40
GUAINIA,2012,1
GUAVIARE,2012,7
HUILA,2012,48
LA GUAJIRA,2012,1
MAGDALENA,2012,9
META,2012,131
NARINO,2012,16
NORTE DE SANTANDER,2012,27
PUTUMAYO,2012,27
QUINDIO,2012,8
RISARALDA,2012,11
SANTANDER,2012,34
SUCRE,2012,4
TOLIMA,2012,24
VALLE DEL CAUCA,2012,93
VAUPES,2012,6
VICHADA,2012,0
Por establecer,2012,59
AMAZONAS,2011,1
ANTIOQUIA,2011,116
ARAUCA,2011,13
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2011,0
ATLANTICO,2011,7
BOGOTA D.C.,2011,159
BOLIVAR,2011,5
BOYACA,2011,10
CALDAS,2011,11
CAQUETA,2011,70
CASANARE,2011,43
CAUCA,2011,30
CESAR,2011,14
CHOCO,2011,15
CORDOBA,2011,12
CUNDINAMARCA,2011,52
GUAINIA,2011,3
GUAVIARE,2011,22
HUILA,2011,82
LA GUAJIRA,2011,3
MAGDALENA,2011,7
META,2011,188
NARINO,2011,19
NORTE DE SANTANDER,2011,14
PUTUMAYO,2011,26
QUINDIO,2011,23
RISARALDA,2011,24
SANTANDER,2011,30
SUCRE,2011,11
TOLIMA,2011,41
VALLE DEL CAUCA,2011,126
VAUPES,2011,19
VICHADA,2011,3
Por establecer,2011,161
AMAZONAS,2010,1
ANTIOQUIA,2010,206
ARAUCA,2010,13
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2010,0
ATLANTICO,2010,16
BOGOTA D.C.,2010,329
BOLIVAR,2010,21
BOYACA,2010,16
CALDAS,2010,18
CAQUETA,2010,143
CASANARE,2010,39
CAUCA,2010,58
CESAR,2010,14
CHOCO,2010,22
CORDOBA,2010,15
CUNDINAMARCA,2010,96
GUAINIA,2010,5
GUAVIARE,2010,19
HUILA,2010,111
LA GUAJIRA,2010,7
MAGDALENA,2010,11
META,2010,233
NARINO,2010,27
NORTE DE SANTANDER,2010,41
PUTUMAYO,2010,86
QUINDIO,2010,28
RISARALDA,2010,41
SANTANDER,2010,39
SUCRE,2010,12
TOLIMA,2010,96
VALLE DEL CAUCA,2010,181
VAUPES,2010,9
VICHADA,2010,4
Por establecer,2010,270
AMAZONAS,2009,2
ANTIOQUIA,2009,245
ARAUCA,2009,17
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2009,0
ATLANTICO,2009,25
BOGOTA D.C.,2009,375
BOLIVAR,2009,39
BOYACA,2009,44
CALDAS,2009,30
CAQUETA,2009,120
CASANARE,2009,69
CAUCA,2009,78
CESAR,2009,39
CHOCO,2009,29
CORDOBA,2009,19
CUNDINAMARCA,2009,114
GUAINIA,2009,8
GUAVIARE,2009,13
HUILA,2009,163
LA GUAJIRA,2009,8
MAGDALENA,2009,7
META,2009,204
NARINO,2009,45
NORTE DE SANTANDER,2009,32
PUTUMAYO,2009,63
QUINDIO,2009,40
RISARALDA,2009,51
SANTANDER,2009,58
SUCRE,2009,24
TOLIMA,2009,125
VALLE DEL CAUCA,2009,280
VAUPES,2009,7
VICHADA,2009,6
Por establecer,2009,421
AMAZONAS,2008,3
ANTIOQUIA,2008,257
ARAUCA,2008,19
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2008,0
ATLANTICO,2008,39
BOGOTA D.C.,2008,361
BOLIVAR,2008,70
BOYACA,2008,36
CALDAS,2008,65
CAQUETA,2008,118
CASANARE,2008,56
CAUCA,2008,184
CESAR,2008,42
CHOCO,2008,31
CORDOBA,2008,5
CUNDINAMARCA,2008,107
GUAINIA,2008,10
GUAVIARE,2008,14
HUILA,2008,133
LA GUAJIRA,2008,10
MAGDALENA,2008,9
META,2008,372
NARINO,2008,30
NORTE DE SANTANDER,2008,31
PUTUMAYO,2008,57
QUINDIO,2008,31
RISARALDA,2008,79
SANTANDER,2008,61
SUCRE,2008,48
TOLIMA,2008,118
VALLE DEL CAUCA,2008,221
VAUPES,2008,3
VICHADA,2008,14
Por establecer,2008,368
AMAZONAS,2007,2
ANTIOQUIA,2007,292
ARAUCA,2007,26
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2007,0
ATLANTICO,2007,32
BOGOTA D.C.,2007,500
BOLIVAR,2007,58
BOYACA,2007,29
CALDAS,2007,31
CAQUETA,2007,113
CASANARE,2007,49
CAUCA,2007,96
CESAR,2007,44
CHOCO,2007,8
CORDOBA,2007,5
CUNDINAMARCA,2007,103
GUAINIA,2007,5
GUAVIARE,2007,7
HUILA,2007,137
LA GUAJIRA,2007,11
MAGDALENA,2007,10
META,2007,159
NARINO,2007,39
NORTE DE SANTANDER,2007,39
PUTUMAYO,2007,39
QUINDIO,2007,28
RISARALDA,2007,71
SANTANDER,2007,77
SUCRE,2007,49
TOLIMA,2007,131
VALLE DEL CAUCA,2007,394
VAUPES,2007,2
VICHADA,2007,8
Por establecer,2007,348
AMAZONAS,2006,11
ANTIOQUIA,2006,"4,376"
ARAUCA,2006,31
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2006,0
ATLANTICO,2006,924
BOGOTA D.C.,2006,"1,303"
BOLIVAR,2006,586
BOYACA,2006,529
CALDAS,2006,259
CAQUETA,2006,184
CASANARE,2006,157
CAUCA,2006,137
CESAR,2006,"2,520"
CHOCO,2006,283
CORDOBA,2006,"1,277"
CUNDINAMARCA,2006,492
GUAINIA,2006,4
GUAVIARE,2006,42
HUILA,2006,195
LA GUAJIRA,2006,298
MAGDALENA,2006,"1,791"
META,2006,871
NARINO,2006,88
NORTE DE SANTANDER,2006,329
PUTUMAYO,2006,124
QUINDIO,2006,94
RISARALDA,2006,217
SANTANDER,2006,"1,416"
SUCRE,2006,308
TOLIMA,2006,294
VALLE DEL CAUCA,2006,399
VAUPES,2006,3
VICHADA,2006,9
Por establecer,2006,"1,100"
AMAZONAS,2005,2
ANTIOQUIA,2005,"4,350"
ARAUCA,2005,52
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2005,1
ATLANTICO,2005,283
BOGOTA D.C.,2005,"1,011"
BOLIVAR,2005,391
BOYACA,2005,77
CALDAS,2005,134
CAQUETA,2005,58
CASANARE,2005,351
CAUCA,2005,65
CESAR,2005,194
CHOCO,2005,102
CORDOBA,2005,"1,626"
CUNDINAMARCA,2005,277
GUAINIA,2005,2
GUAVIARE,2005,10
HUILA,2005,90
LA GUAJIRA,2005,25
MAGDALENA,2005,115
META,2005,481
NARINO,2005,159
NORTE DE SANTANDER,2005,225
PUTUMAYO,2005,25
QUINDIO,2005,99
RISARALDA,2005,409
SANTANDER,2005,368
SUCRE,2005,357
TOLIMA,2005,270
VALLE DEL CAUCA,2005,368
VAUPES,2005,1
VICHADA,2005,11
Por establecer,2005,"1,043"
AMAZONAS,2004,0
ANTIOQUIA,2004,902
ARAUCA,2004,15
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2004,0
ATLANTICO,2004,64
BOGOTA D.C.,2004,770
BOLIVAR,2004,111
BOYACA,2004,45
CALDAS,2004,19
CAQUETA,2004,28
CASANARE,2004,77
CAUCA,2004,49
CESAR,2004,107
CHOCO,2004,36
CORDOBA,2004,374
CUNDINAMARCA,2004,234
GUAINIA,2004,1
GUAVIARE,2004,5
HUILA,2004,62
LA GUAJIRA,2004,11
MAGDALENA,2004,75
META,2004,139
NARINO,2004,16
NORTE DE SANTANDER,2004,478
PUTUMAYO,2004,16
QUINDIO,2004,36
RISARALDA,2004,40
SANTANDER,2004,135
SUCRE,2004,94
TOLIMA,2004,71
VALLE DEL CAUCA,2004,331
VAUPES,2004,1
VICHADA,2004,4
Por establecer,2004,"1,098"
AMAZONAS,2003,1
ANTIOQUIA,2003,930
ARAUCA,2003,6
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2003,0
ATLANTICO,2003,26
BOGOTA D.C.,2003,553
BOLIVAR,2003,19
BOYACA,2003,27
CALDAS,2003,13
CAQUETA,2003,29
CASANARE,2003,33
CAUCA,2003,24
CESAR,2003,29
CHOCO,2003,11
CORDOBA,2003,8
CUNDINAMARCA,2003,148
GUAINIA,2003,1
GUAVIARE,2003,2
HUILA,2003,43
LA GUAJIRA,2003,5
MAGDALENA,2003,10
META,2003,91
NARINO,2003,8
NORTE DE SANTANDER,2003,35
PUTUMAYO,2003,12
QUINDIO,2003,24
RISARALDA,2003,27
SANTANDER,2003,97
SUCRE,2003,3
TOLIMA,2003,44
VALLE DEL CAUCA,2003,59
VAUPES,2003,1
VICHADA,2003,2
Por establecer,2003,"1,187"
AMAZONAS,2002,0
ANTIOQUIA,2002,0
ARAUCA,2002,0
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2002,0
ATLANTICO,2002,0
BOGOTA D.C.,2002,1
BOLIVAR,2002,0
BOYACA,2002,1
CALDAS,2002,0
CAQUETA,2002,0
CASANARE,2002,1
CAUCA,2002,0
CESAR,2002,0
CHOCO,2002,0
CORDOBA,2002,0
CUNDINAMARCA,2002,0
GUAINIA,2002,0
GUAVIARE,2002,0
HUILA,2002,0
LA GUAJIRA,2002,0
MAGDALENA,2002,0
META,2002,0
NARINO,2002,0
NORTE DE SANTANDER,2002,0
PUTUMAYO,2002,0
QUINDIO,2002,0
RISARALDA,2002,0
SANTANDER,2002,0
SUCRE,2002,0
TOLIMA,2002,0
VALLE DEL CAUCA,2002,1
VAUPES,2002,0
VICHADA,2002,0
Por establecer,2002,0
AMAZONAS,2001,0
ANTIOQUIA,2001,0
ARAUCA,2001,0
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2001,0
ATLANTICO,2001,0
BOGOTA D.C.,2001,0
BOLIVAR,2001,0
BOYACA,2001,0
CALDAS,2001,0
CAQUETA,2001,0
CASANARE,2001,0
CAUCA,2001,0
CESAR,2001,0
CHOCO,2001,0
CORDOBA,2001,0
CUNDINAMARCA,2001,0
GUAINIA,2001,0
GUAVIARE,2001,0
HUILA,2001,0
LA GUAJIRA,2001,0
MAGDALENA,2001,0
META,2001,0
NARINO,2001,0
NORTE DE SANTANDER,2001,0
PUTUMAYO,2001,0
QUINDIO,2001,0
RISARALDA,2001,0
SANTANDER,2001,0
SUCRE,2001,0
TOLIMA,2001,0
VALLE DEL CAUCA,2001,1
VAUPES,2001,0
VICHADA,2001,0
Por establecer,2001,0
